"prefectureLabel","spotLabel","abstract"
"佐賀県","いろは島","いろは島（いろはじま）は、伊万里湾東部、佐賀県唐津市肥前町と長崎県松浦市福島の間の海域に浮かぶ、多数の無人島の総称である。イロハ島と表記することもある。島の数は48とされ、「いろは48文字」から「いろは島」と命名された。主な島は「弁天島」「松島」「竹ノ子島」など。"
"三重県","おかげ横丁","おかげ横丁（おかげよこちょう）は、三重県伊勢市の伊勢神宮皇大神宮（内宮）前にあるお蔭参り（お伊勢参り）で賑わった江戸時代末期から明治時代初期の鳥居前町の町並みを再現した観光地である。運営は伊勢名物赤福餅を生産・販売する株式会社赤福の子会社である株式会社伊勢福が行う。おはらい町の中ほどにあり、伊勢志摩を代表する観光地となっている。"
"三重県","おはらい町","おはらい町（おはらいまち）は、三重県伊勢市の宇治のうち、伊勢神宮皇大神宮（内宮）の鳥居前町である。伊勢参宮街道に沿って、宇治・山田で昭和中期以前は一般的であった「妻入り」の木造建築が立ち並ぶ。伊勢市の代表的な観光地で、町の中央にはおかげ横丁がある。"
"三重県","ともいきの国 伊勢忍者キングダム","ともいきの国 伊勢忍者キングダム（ともいきのくに いせにんじゃきんぐだむ）は、三重県伊勢市にある安土桃山時代の歴史、文化を扱うテーマパークである。1993年（平成5年）に開業。以前の名称は伊勢・安土桃山文化村（いせ・あづちももやまぶんかむら）。"
"三重県","なばなの里","なばなの里（なばなのさと）は、三重県桑名市長島町駒江にある植物園である。長島観光開発株式会社の運営するナガシマリゾートの一施設である。"
"三重県","まごの店","まごの店（まごのみせ）は三重県多気郡多気町にある五桂池ふるさと村内に設置されているレストラン。三重県立相可高等学校の高校生が運営している。通称、高校生レストラン。多気町が設置した施設であり、教育実習施設としての役割も果たしている。"
"三重県","ナガシマスパーランド","ナガシマスパーランド（英語: Nagashima Spa Land）は、三重県桑名市長島町浦安にある長島観光開発株式会社の運営する大型レジャーランド。同社が形成するナガシマリゾートの中核施設である。"
"三重県","ミキモト真珠島","ミキモト真珠島 （みきもとしんじゅしま、英: Mikimoto Pearl Island） は、三重県鳥羽市の鳥羽湾内に浮かぶ小島。 英虞湾内にある神明浦と並ぶ養殖真珠発祥の地であり、全島が株式会社御木本真珠島 （みきもとしんじゅしま、英: Mikimoto Pearl Museum Co., Ltd.） が経営するレジャー施設となっている。島内では真珠工芸品が展示されている他、海女の実演が催される。 年間観光客数は25 - 26万人で、約1割が日本国外からの来客である。このため、島内の案内は日本語と英語を併記し、パンフレットは日本語・英語・韓国語・中国語（簡体字）・中国語（繁体字）・ドイツ語・フランス語・イタリア語・スペイン語・ポルトガル語の10か国語を用意している。"
"三重県","メナード青山リゾート","メナード青山リゾート（メナードあおやまリゾート）とは、日本メナード化粧品の関連施設のひとつで、同社が所有するである。三重県に存在し、室生赤目青山国定公園の一部になっている。点在する施設は、伊賀市と津市の境である布引峠周辺に存在する。"
"佐賀県","メルヘン村","森の遊園地 メルヘン村（もりのゆうえんち めるへんむら）は、佐賀県武雄市にある、幼児向けの遊園地と動物園が併設されたテーマパークである。"
"三重県","ルーブル彫刻美術館","ルーブル彫刻美術館（ルーブルちょうこくびじゅつかん）は、三重県津市白山町佐田にある美術館。寶珠山大観音寺の境内にある。ルーブル美術館から公式に許可を得て運営している。"
"三重県","七里の渡し","七里の渡し（しちりのわたし）は東海道五十三次で知られる宮宿（愛知県名古屋市熱田区）から桑名宿（三重県桑名市）までの海路で、かつての官道。この渡しの宮宿側、または、桑名宿側の渡船場のみを指して「七里の渡し」と呼ぶことも多い。"
"佐賀県","三瀬ルベール牧場 どんぐり村","三瀬ルベール牧場 どんぐり村（みつせルベールぼくじょう どんぐりむら）は、佐賀県佐賀市三瀬村杠2234-67にある、牧場を中心としたテーマパークである。"
"三重県","三重県立熊野古道センター","三重県立熊野古道センター（みえけんりつくまのこどうセンター、英語: Mie Prefecture KUMANO KODO CENTER）は、三重県尾鷲市向井にある熊野古道に関する情報を発信するビジターセンター。熊野古道の三重県内区間である伊勢路とその周辺の自然・歴史・文化を対象とし、これらの保全・活用の拠点として、また世界遺産「紀伊山地の霊場と参詣道」の東の入り口としての役割を担う。"
"三重県","中辺路","中辺路（なかへち）は、熊野三山（熊野本宮大社、熊野速玉大社、熊野那智大社）へと通じる参詣道・熊野古道のひとつ。和歌山県田辺市から山間部の熊野本宮大社・熊野那智大社を通って、熊野速玉大社に至るおよそ21里（84km）の行程である。「熊野古道」は広義には大阪や伊勢から熊野に至る長大な参詣道を含むが、世間一般的には（観光スポットとしての）「熊野古道」はこの「中辺路」の区間を指す。 成立までの歴史的経緯は紀伊路を参照。 田辺市街～秋津王子～万呂王子～三栖王子～八上王子～稲葉根王子～一ノ瀬王子～鮎川王子～滝尻王子～不寝王子～大門王子～十丈王子～大坂本王子～近露王子～比曽原王子～継桜王子～中ノ河王子～小広王子～熊瀬川王子～岩神王子～湯川王子～猪鼻王子～発心門王子～水呑王子～伏拝王子～祓戸王子～熊野本宮大社～湯ノ峯王子～熊野那智大社～多富気王子～市野々王子～浜の宮王子～佐野王子～浜王子～熊野速玉大社 尚、熊瀬川王子～湯川王子の間は平成23年台風第12号の被害により現在も通行止め区間が有り、迂回路を通る事になる。"
"三重県","丸山千枚田","丸山千枚田（まるやませんまいだ）は、三重県熊野市紀和町丸山地区にある白倉山（標高736m）の南西斜面を利用した棚田群。 千枚田と言われるが、実際には高低差160m（標高90-250m）の谷合に約1,340枚（7ha）の棚田がある。最も小さい田は、1枚で0.5m2しかない。棚田の法面は野面積み（のづらづみ）を主とした石積みであり、西日本に多く見られる方式である。"
"京都府","丹後松島","丹後松島（たんごまつしま）は、京都府京丹後市丹後町平にある景勝地。"
"佐賀県","九年庵","九年庵（くねんあん）は佐賀県神埼市神埼町的仁比山にある数寄屋造りの邸宅および日本庭園である。"
"三重県","五桂池ふるさと村","五桂池ふるさと村（ごかつらいけふるさとむら）は、三重県多気郡多気町五桂956にある農業公園である。1984年（昭和59年）に開園。ここでは、五桂池についても記述する。"
"京都府","五老スカイタワー","五老スカイタワー（ごろうスカイタワー）は、京都府舞鶴市の内にある展望塔。正式名称は五老ヶ岳公園展望タワー。 舞鶴市を東西に分ける五老岳にそびえ立つタワーからの展望は、近畿百景第1位に選ばれた舞鶴湾の美しいリアス式海岸や舞鶴市街地、国際ふ頭である舞鶴国際ふ頭が一望することができる。"
"京都府","京都市道183号衣笠宇多野線","京都市道183号衣笠宇多野線（きょうとしどう183ごう きぬがさうたのせん）は京都府京都市北区衣笠街道町から同市右京区宇多野福王子町に至る主要地方道である。沿線に金閣寺、龍安寺、仁和寺といった名刹を抱える観光道路であり、きぬかけの路（きぬかけのみち）の愛称がつけられている。"
"三重県","伊勢神宮","伊勢神宮（いせじんぐう）は、三重県伊勢市にある神社。 正式名称は地名を冠しない「神宮」（じんぐう）であり、他の神宮と区別するために伊勢神宮と通称される。「伊勢の神宮」、親しみを込めて「お伊勢さん」「大神宮さん」とも称される。神社本庁の本宗（ほんそう。全ての神社の上に立つ神社）である。 二十二社の中の更に上七社の1社。また、神階が授与されたことのない神社の一つ。古代においては宇佐神宮、中世においては石清水八幡宮と共に二所宗廟のひとつとされた。明治時代から太平洋戦争前までの近代社格制度においては、全ての神社の上に位置する神社として社格の対象外とされた。"
"三重県","伊勢路 (熊野古道)","熊野古道の伊勢路（いせじ）とは、伊勢国・伊勢神宮から、熊野三山（熊野本宮大社、熊野速玉大社、熊野那智大社）へ通じる参詣道であり、熊野参詣道のひとつである。伊勢神宮から熊野速玉大社までの総距離は約170km。 国の史跡「熊野参詣道」（2000年〈平成12年〉11月2日指定）の一部として、2002年（平成14年）12月19日に追加指定を受けている。2004年（平成16年）7月に登録されたユネスコの世界遺産『紀伊山地の霊場と参詣道』の構成資産の一部。世界遺産登録区間は断続的に計32.9km。 古くから、伊勢神宮と熊野三山を結ぶ交通路で『東海道中膝栗毛』にも登場し、「伊勢へ七度、熊野へ三度」と呼ばれる信仰の路であった。紀伊路などの和歌山県側の古道が貴族にも多く利用されてきたのに対して、伊勢路は主に庶民が利用する道として歴史を重ねてきた。"
"京都府","伊根の舟屋","伊根の舟屋（いねのふなや）は、京都府与謝郡伊根町の伊根地区で伊根湾（伊根浦）沿い立ち並ぶ民家で、船の収納庫の上に住居を備えた、この地区独特の伝統的建造物である。伊根の集落は重要伝統的建造物群保存地区として選定されているために国内外にも知られ、毎年30万人近い観光客が訪れる。"
"三重県","伊賀の里モクモク手づくりファーム","伊賀の里モクモク手づくりファーム（いがのさとモクモクてづくりファーム）は、三重県伊賀市に位置する、農事組合法人伊賀の里モクモク手づくりファーム運営の農業公園。通称はモクモクファーム。 「モクモク」の名は三重県内における著名な食品ブランドのひとつとなっており、同法人による食品は、ファームのほか県下百貨店やインターネット上でも販売されている。"
"京都府","伏見十石舟","伏見十石舟（ふしみじっこくぶね）は、特定非営利活動法人（NPO法人）の伏見観光協会が運航する遊覧船である。 京都府京都市伏見区の濠川（宇治川派流）に架かる弁天橋（月桂冠大倉記念館裏）のたもとから発着する。「十石舟」のほか、比較的船体が大きい「三十石船」も随時運航されている"
"京都府","伏見港","伏見港（ふしみこう）は、かつて京都府京都市伏見区に存在した河川港。1950年代頃まで、京都と大阪（大坂）を結ぶ水運の拠点として栄えた。"
"京都府","伏見稲荷大社","伏見稲荷大社（ふしみいなりたいしゃ）は、京都府京都市伏見区深草にある神社。式内社（名神大社）、二十二社（上七社）の一社。旧社格は官幣大社で、現在は神社本庁に属さない単立神社。 旧称は「稲荷神社」。の麓に本殿があり、稲荷山全体を神域とする。全国に約3万社あるといわれる稲荷神社の総本社である。初詣では近畿地方の社寺で最多の参拝者を集める（日本国内第4位〔2010年〕）。現存する旧社家は大西家。"
"京都府","八坂神社","八坂神社（やさかじんじゃ）は、京都府京都市東山区祇園町北側にある神社。二十二社（下八社）の一社。旧社格は官幣大社で、現在は神社本庁の別表神社。 全国にある八坂神社や素戔嗚尊を祭神とする関連神社（約2,300社）の総本社である主張をしている。通称として祇園さんとも呼ばれる。7月の祇園祭（祇園会）で知られる。"
"京都府","北野天満宮","北野天満宮（きたのてんまんぐう）は、京都市上京区にある神社。旧称は北野神社。二十二社（下八社）の一社。旧社格は官幣中社で、現在は神社本庁の別表神社。神紋は「星梅鉢紋」。 通称として天神さん・北野さんとも呼ばれる。福岡県太宰府市の太宰府天満宮とともに天神信仰の中心で、当社から全国各地に勧請が行われている。近年は学問の神として多くの受験生らの信仰を集めている。"
"京都府","古都京都の文化財","古都京都の文化財（京都市、宇治市、大津市）（こときょうとのぶんかざい（きょうとし、うじし、おおつし））は、その名が示すように京都府京都市・宇治市、滋賀県大津市の2県3市に点在する構成資産17件から成るユネスコの世界遺産リスト登録物件（文化遺産）である。1994年に日本で5件目の世界遺産として登録された。 正式名称には3市の名前が含まれており、文化庁の表記や日本ユネスコ協会連盟の表記はそうなっているが、しばしば市名の部分を省略して、単に「古都京都の文化財」と呼ばれる。"
"京都府","吉田のしだれ桜","吉田のしだれ桜（よしだのしだれざくら）は、京都府舞鶴市吉田地区にある一本桜のシダレザクラ。樹齢300年といわれる古木と樹齢80年の二対の若木の桜で、観桜シーズンには桜が咲き乱れる。勅勘をこうむり、丹後に配流となった公家の権中納言中院通勝卿の心をなぐさめるため、親しい友人が京都より苗木を送つたことに始まるといわれる。 当しだれ桜は舞鶴市吉田地区の曹洞宗瑠璃寺境内に位置し、なかでも樹齢300年といわれる古木は幹周囲2.52m、高さ7mにもなる。舞鶴市指定文化財（天然記念物）にも指定された。観桜シーズンにはライトアップされるため、夜間観桜も可能である。"
"佐賀県","呼子朝市","呼子朝市（よぶこあさいち）は、佐賀県唐津市呼子町呼子朝市通りで開かれる朝市である。石川県輪島市の輪島朝市、千葉県勝浦市の勝浦朝市、岐阜県高山市の宮川朝市に次ぐ規模と歴史を有し、日本四大朝市とも称される。"
"京都府","哲学の道","哲学の道（てつがくのみち）は京都市左京区にある琵琶湖疏水分線に沿った歩道である。"
"三重県","四日市港ポートビル","四日市港ポートビル（よっかいちこうポートビル）は、四日市港の霞ヶ浦南埠頭にある超高層ビルである。"
"三重県","国府白浜","国府白浜（こうしらはま）は三重県志摩市阿児町国府にある海浜。通称は国府の浜。 中部地方及び近畿地方では有数のサーフポイントである。所在地は志摩市であるが、サーファーの間では国府白浜を含む周辺域のサーフスポットを「伊勢」と総称する。"
"京都府","大江山","大江山（おおえやま）は京都府丹後半島の付け根に位置し与謝野町、福知山市、宮津市にまたがる連山である。標高832m。別称、大枝山・与謝大山・千丈ヶ嶽。 酒呑童子伝説で知られる。また、雲海の名所としても知られている。2007年（平成19年）8月3日には丹後天橋立大江山国定公園として国定公園にも指定されている。新・花の百名山に選定されている。"
"京都府","天ヶ瀬ダム","天ヶ瀬ダム（あまがせダム）は京都府宇治市、一級河川・淀川本川中流部、通称宇治川と呼ばれる流域に建設されたダムである。 国土交通省近畿地方整備局が管理する国土交通省直轄ダムで、西日本屈指の大河川・淀川本流に建設された唯一のダム。高さ73.0メートルのアーチ式コンクリートダムで、淀川の治水と宇治市への上水道供給、総出力59万8,000キロワットにも及ぶ水力発電を目的とした特定多目的ダムである。現在ダム機能の強化を目的にバイパストンネル建設を柱とするダム再開発事業を実施中である。 ダムによって形成された人造湖は鳳凰湖（ほうおうこ）と命名され、平等院鳳凰堂などと共に、琵琶湖国定公園エリアでもある宇治地域の主要な観光地となっている。"
"京都府","天橋立","天橋立（あまのはしだて）は、京都府宮津市の宮津湾と内海の阿蘇海を南北に隔てる全長3.6キロメートルの湾口砂州。日本三景の一つであり、2013年の観光入込客数は178万1900人と京都市を除いた京都府内の観光地で第1位である。"
